"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Ratio","SHR Measure Score","SHR Reason for No Score (See Footnotes File)","State Average SHR Measure Score","National Average SHR Measure Score"
"FRESENIUS MEDICAL CARE CLIFFVIEW","452674","-","1225 E CLIFF DRIVE","EL PASO","TX","79902","Network 14","Standardized Hospitalization Ratio","202.56","0","-","2","3"
"FRESENIUS MEDICAL CARE - CLOQUET","242604","-","512 SKYLINE BLVD","CLOQUET","MN","55720","Network 11","Standardized Hospitalization Ratio","164.24","1","-","4","3"
"Fresenius Medical Care CNA Kidney Centers, LLC","422677","-","5301 HIGHWAY 321","Gaston","SC","29053","Network 6","Standardized Hospitalization Ratio","97.54","8","-","3","3"
"Fresenius Medical Care CNA Kidney Centers, LLC","422651","-","140 HIGHLAND CENTER DRIVE","COLUMBIA","SC","29203","Network 6","Standardized Hospitalization Ratio","113.59","7","-","3","3"
"Fresenius Medical Care CNA Kidney Centers, LLC","422680","-","214 DAWSON RD","Columbia","SC","29223","Network 6","Standardized Hospitalization Ratio","163.36","1","-","3","3"
"Fresenius Medical Care CNA Kidney Centers, LLC","422650","-","653 W. WESMARK BOULEVARD","SUMTER","SC","29150","Network 6","Standardized Hospitalization Ratio","113.81","7","-","3","3"
"Fresenius Medical Care CNA Kidney Centers, LLC","422671","-","1000 RAMBLIN ROAD","WEST COLUMBIA","SC","29172","Network 6","Standardized Hospitalization Ratio","123.11","5","-","3","3"
"FRESENIUS MEDICAL CARE COLLEGE PARK","112750","-","2545 SULLIVAN ROAD","COLLEGE PARK","GA","30337","Network 6","Standardized Hospitalization Ratio","149.74","2","-","3","3"
"FRESENIUS MEDICAL CARE COLUMBIA","422504","-","2125 ADAMS GROVE RD","COLUMBIA","SC","29203","Network 6","Standardized Hospitalization Ratio","129.46","5","-","3","3"
"Fresenius Medical Care Columbia Franklin, LLC","442757","-","8048 STATION HILL DR","SPRING HILL","TN","37174","Network 8","Standardized Hospitalization Ratio","162.39","1","-","3","3"
"Fresenius Medical Care Columbia Home","422627","-","121 PARK CENTRAL DR","COLUMBIA","SC","29203","Network 6","Standardized Hospitalization Ratio","179.08","0","-","3","3"
"Fresenius Medical Care Cookeville, LLC","442767","-","115 N HICKORY AVE STE 100","COOKEVILLE","TN","38501","Network 8","Standardized Hospitalization Ratio","162.82","1","-","3","3"
"Fresenius Medical Care Corpus Christi Bayside, LLC","742569","-","1121 3RD ST","CORPUS CHRISTI","TX","78404","Network 14","Standardized Hospitalization Ratio","155.47","3","-","2","3"
"Fresenius Medical Care Corpus Christi Home, LLC","742558","-","5842 YORKTOWN BLVD","CORPUS CHRISTI","TX","78414","Network 14","Standardized Hospitalization Ratio","156.27","2","-","2","3"
"FRESENIUS MEDICAL CARE CORSICANA","452553","-","1321 W 2ND AVE","CORSICANA","TX","75110","Network 14","Standardized Hospitalization Ratio","125.59","5","-","2","3"
"Fresenius Medical Care Cottonwood, LLC","032664","-","455 S CALVARY WAY","Cottonwood","AZ","86326","Network 15","Standardized Hospitalization Ratio","162.94","1","-","3","3"
"FRESENIUS MEDICAL CARE DAKOTA DUNES, LLC","432516","-","357 W TOWER RD","DAKOTA DUNES","SD","57049","Network 11","Standardized Hospitalization Ratio","197.87","0","-","6","3"
"Fresenius Medical Care Danvers","222588","-","75 NEWBURY STREET","DANVERS","MA","01923","Network 1","Standardized Hospitalization Ratio","150.31","2","-","2","3"
"Fresenius Medical Care Deptford LLC","312641","-","1689 DELSEA DRIVE","DEPTFORD","NJ","08096","Network 3","Standardized Hospitalization Ratio","157.26","2","-","3","3"
"Fresenius Medical Care Derby","172552","-","712 KLEIN CIRCLE","DERBY","KS","67037","Network 12","Standardized Hospitalization Ratio","114.74","6","-","4","3"
"FRESENIUS MEDICAL CARE DESERT MILAGRO DIALYSIS CENTER","672627","-","230 NORTH WASHINGTON AVE","ODESSA","TX","79761","Network 14","Standardized Hospitalization Ratio","164.87","1","-","2","3"
"FRESENIUS MEDICAL CARE DIABLO NEPHROLOGY CLINICS, LLC","052757","-","1800 N. PARK BLVD","Pittsburg","CA","94565","Network 17","Standardized Hospitalization Ratio","114.35","6","-","4","3"
"Fresenius Medical Care Dialysis of Golden Isles","112797","-","475 GATEWAY CENTER BLVD","BRUNSWICK","GA","31525","Network 6","Standardized Hospitalization Ratio","148.51","3","-","3","3"
"Fresenius Medical Care Dialysis Services","062601","-","9050 E LOWRY BLVD","Denver","CO","80230","Network 15","Standardized Hospitalization Ratio","111.97","7","-","6","3"
"Fresenius Medical Care Dialysis Services of Grapvine","452832","-","300 S PARK BLVD","Grapevine","TX","76051","Network 14","Standardized Hospitalization Ratio","162.04","1","-","2","3"
