"A82024","5D6","","20010401","20060930","1"
"A82024","5NE","","20061001","20130331","1"
"A82024","01H","","20130401","","1"
"A82025","01K","","20170401","","1"
"A82025","4DQ30","","19990401","20010331","1"
"A82025","5DD","","20010401","20060930","1"
"A82025","5NE","","20061001","20130331","1"
"A82025","01H","","20130401","20170331","1"
"A82026","01K","","20170401","","1"
"A82026","4DQ30","","19990401","20010331","1"
"A82026","5DD","","20010401","20060930","1"
"A82026","5NE","","20061001","20130331","1"
"A82026","01H","","20130401","20170331","1"
"A82027","01K","","20170401","","1"
"A82027","4DQ30","","19990401","20010331","1"
"A82027","5DD","","20010401","20060930","1"
"A82027","5NE","","20061001","20130331","1"
"A82027","01H","","20130401","20170331","1"
"A82028","4JY13","","19990401","20010331","1"
"A82028","5D5","","20010401","20060930","1"
"A82028","5NE","","20061001","20130331","1"
"A82028","01H","","20130401","","1"
"A82029","4NA24","","19990401","20010331","1"
"A82029","5D4","","20010401","20060930","1"
"A82029","5NE","","20061001","20130331","1"
"A82029","01H","","20130401","","1"
"A82030","01K","","20170401","","1"
"A82030","4DQ30","","19990401","20010331","1"
"A82030","5DD","","20010401","20060930","1"
"A82030","5NE","","20061001","20130331","1"
"A82030","01H","","20130401","20170331","1"
"A82031","4JY13","","19990401","20010331","1"
"A82031","5D5","","20010401","20060930","1"
"A82031","5NE","","20061001","20130331","1"
"A82031","01H","","20130401","","1"
"A82032","4MW56","","19990401","20010331","1"
"A82032","5D6","","20010401","20060930","1"
"A82032","5NE","","20061001","20130331","1"
"A82032","01H","","20130401","","1"
"A82033","01K","","20170401","","1"
"A82033","4MW56","","19990401","20010331","1"
"A82033","5D6","","20010401","20060930","1"
"A82033","5NE","","20061001","20130331","1"
"A82033","01H","","20130401","20170331","1"
"A82034","01K","","20170401","20210831","1"
"A82034","4DQ30","","19990401","20010331","1"
"A82034","5DD","","20010401","20060930","1"
"A82034","5NE","","20061001","20130331","1"
"A82034","01H","","20130401","20170331","1"
"A82035","4JY13","","19990401","20010331","1"
"A82035","5D5","","20010401","20060930","1"
"A82035","5NE","","20061001","20130331","1"
"A82035","01H","","20130401","","1"
"A82036","4JY13","","19990401","20010331","1"
"A82036","5D5","","20010401","20060930","1"
"A82036","5NE","","20061001","20130331","1"
"A82036","01H","","20130401","","1"
"A82037","4NA24","","19990401","20010331","1"
"A82037","5D4","","20010401","20060930","1"
"A82037","5NE","","20061001","20130331","1"
"A82037","01H","","20130401","","1"
"A82038","4JY13","","19990401","20010331","1"
"A82038","5D5","","20010401","20060930","1"
"A82038","5NE","","20061001","20130331","1"
"A82038","01H","","20130401","","1"
"A82039","01K","","20170401","","1"
"A82039","4KC44","","19990401","20010331","1"
"A82039","5DD","","20010401","20060930","1"
"A82039","5NE","","20061001","20130331","1"
"A82039","01H","","20130401","20170331","1"
"A82040","4MW56","","19990401","20010331","1"
"A82040","5D6","","20010401","20060930","1"
"A82040","5NE","","20061001","20130331","1"
"A82040","01H","","20130401","20171031","1"
"A82041","4MW56","","19990401","20010331","1"
"A82041","5D6","","20010401","20060930","1"
"A82041","5NE","","20061001","20130331","1"
"A82041","01H","","20130401","","1"
"A82044","4MW56","","19990401","20010331","1"
"A82044","5D6","","20010401","20060930","1"
"A82044","5NE","","20061001","20130331","1"
"A82044","01H","","20130401","","1"
