"169","DAVENTRY DISTRICT COUNCIL","Y60","QPM","LODGE ROAD","","","DAVENTRY","","NN11 4FP","20040401","20210331","","RO36","","","","","","","","1","","","","",""
"171","DERBYSHIRE DALES DISTRICT COUNCIL","Y60","QJ2","TOWN HALL","BANK ROAD","","MATLOCK","","DE4 3NN","20040401","","","RO36","","","","","","","","1","","","","",""
"172","DOVER DISTRICT COUNCIL","Y59","QKS","WHITE CLIFFS BUSINESS PARK","WHITFIELD","","DOVER","","CT16 3PJ","20040401","","","RO36","","","","","","","","1","","","","",""
"173","EAST CAMBRIDGESHIRE DISTRICT COUNCIL","Y61","S1Y5D","THE GRANGE","NUTHOLT LANE","","ELY","","CB7 4EE","20040401","","","RO36","","","","","","","","1","","","","",""
"174","EAST DEVON DISTRICT COUNCIL","Y58","QJK","BLACKDOWN HOUSE","BORDER ROAD","HEATHPARK INDUSTRIAL ESTATE","HONITON","","EX14 1EJ","20040401","","","RO36","","","","","","","","1","","","","",""
"175","EAST DORSET DISTRICT COUNCIL","Y58","QVV","COUNCIL OFFICES","FURZEHILL","","WIMBORNE","","BH21 4HN","20040401","20190331","","RO36","","","","","","","","1","","","","",""
"176","EAST HAMPSHIRE DISTRICT COUNCIL","Y59","QRL","PENNS PLACE","","","PETERSFIELD","","GU31 4EX","20040401","","","RO36","","","","","","","","1","","","","",""
"177","EAST HERTFORDSHIRE DISTRICT COUNCIL","Y61","S1Y5D","WALLFIELDS","PEGS LANE","","HERTFORD","","SG13 8EQ","20040401","","","RO36","","","","","","","","1","","","","",""
"178","EAST LINDSEY DISTRICT COUNCIL","Y60","QJM","TEDDER HALL","MANBY PARK","","LOUTH","","LN11 1SA","20040401","","","RO36","","","","","","","","1","","","","",""
"179","EAST NORTHAMPTONSHIRE COUNCIL","Y60","QPM","EAST NORTHAMPTONSHIRE HOUSE","CEDAR DRIVE","THRAPSTON","KETTERING","","NN14 4LZ","20040401","20210331","","RO36","","","","","","","","1","","","","",""
