"503AX","WASHINGBOROUGH CHILDREN CENTRE","Y60","QJM","SCHOOL LANE","WASHINGBOROUGH","","LINCOLN","","LN4 1BW","20180401","","","","503","","","","","","","1","","","","",""
"503AY","NORTH HYKEHAM DENTAL CLINIC","Y60","QJM","MOOR LANE","NORTH HYKEHAM","","LINCOLN","","LN6 9BA","20180401","","","","503","","","","","","","1","","","","",""
"503CA","BINBROOK SURGERY","Y60","QJM","BACK LANE","BINBROOK","","MARKET RASEN","","LN8 6ED","20180401","","","","503","","","","","","","1","","","","",""
"503CC","WELTON FAMILY HEALTH CENTRE","Y60","QJM","4 CLIFF ROAD","WELTON","","LINCOLN","","LN2 3JH","20180401","","","","503","","","","","","","1","","","","",""
"503CD","INGHAM MEDICAL PRACTICE","Y60","QJM","LINCOLN ROAD","INGHAM","","LINCOLN","","LN1 2XF","20180401","","","","503","","","","","","","1","","","","",""
"503CE","LINDUM MEDICAL PRACTICE","Y60","QJM","1 CABOURNE COURT","","","LINCOLN","","LN2 2JP","20180401","","","","503","","","","","","","1","","","","",""
"503CF","NEW SPRINGWELLS PRACTICE","Y60","QJM","SPRING WELLS","BILLINGBOROUGH","","SLEAFORD","","NG34 0QQ","20180401","","","","503","","","","","","","1","","","","",""
"503CG","MARKET CROSS SURGERY","Y60","QJM","BOURNE ROAD","CORBY GLEN","","GRANTHAM","","NG33 4BB","20180401","","","","503","","","","","","","1","","","","",""
"503CH","ST JOHNS MEDICAL CENTRE","Y60","QJM","62 LONDON ROAD","","","GRANTHAM","","NG31 6HR","20180401","","","","503","","","","","","","1","","","","",""
"503CJ","ST PETERS HILL SURGERY","Y60","QJM","15 ST PETERS HILL","","","GRANTHAM","","NG31 6QA","20180401","","","","503","","","","","","","1","","","","",""
"503CK","CROWLAND HEALTH CENTRE","Y60","QJM","THORNEY ROAD","CROWLAND","","PETERBOROUGH","","PE6 0AL","20180401","","","","503","","","","","","","1","","","","",""
"503CL","WELBY PRACTICE","Y60","QK1","25 WALFORD CLOSE","BOTTESFORD","","NOTTINGHAM","","NG13 0AN","20180401","","","","503","","","","","","","1","","","","",""
"503CM","BELVOIR VALE SURGERY","Y60","QK1","17A WALFORD CLOSE","BOTTESFORD","","NOTTINGHAM","","NG13 0AN","20180401","","","","503","","","","","","","1","","","","",""
"503CN","HARLAXTON PRACTICE","Y60","QJM","SWINE HILL","HARLAXTON","","GRANTHAM","","NG32 1HT","20180401","","","","503","","","","","","","1","","","","",""
"503CP","HEREWARD GROUP PRACTICE","Y60","QJM","EXETER STREET","","","BOURNE","","PE10 9XR","20180401","","","","503","","","","","","","1","","","","",""
"503CQ","WALTHAM ON THE WOLDS PRACTICE","Y60","QK1","BESCABY LANE","WALTHAM ON THE WOLDS","","MELTON MOWBRAY","","LE14 4AB","20180401","","","","503","","","","","","","1","","","","",""
"503CR","WOODLAND MEDICAL PRACTICE","Y60","QJM","JASMIN ROAD","","","LINCOLN","","LN6 0QQ","20180401","","","","503","","","","","","","1","","","","",""
"503CT","CITY CARE CENTRE","Y61","S1Y5D","THORPE ROAD","","","PETERBOROUGH","","PE3 6DB","20180401","","","","503","","","","","","","1","","","","",""
"503CV","BLUECOATS ANNEX","Y60","QJM","BLUECOAT PRIMARY SCHOOL","GREEN LANE","","STAMFORD","","PE9 1HE","20180401","","","","503","","","","","","","1","","","","",""
"503CW","RIVERSIDE PLAYGROUP","Y60","QJM","NORTH HOLME ROAD","","","LOUTH","","LN11 0HG","20180401","","","","503","","","","","","","1","","","","",""
"503CX","ANCASTER CHILDREN CENTRE","Y60","QJM","MERCIA DRIVE","ANCASTER","","GRANTHAM","","NG32 3QQ","20180401","","","","503","","","","","","","1","","","","",""
"503CY","WELTON HOUSE","Y60","QJM","LIME KILN WAY","","","LINCOLN","","LN2 4WH","20180401","","","","503","","","","","","","1","","","","",""
"503DA","RAVENDALE HEALTH CLINIC","Y60","QJM","RAVENDALE DRIVE","","","LINCOLN","","LN2 2BT","20180401","","","","503","","","","","","","1","","","","",""
"503DC","GRANTHAM COMMUNITY BASE","Y60","QJM","TOLLEMACHE ROAD SOUTH","SPITTLEGATE LEVEL","","GRANTHAM","","NG31 7UH","20180401","","","","503","","","","","","","1","","","","",""
"503DD","GREETWELL PLACE","Y60","QJM","2 LIME KILN WAY","","","LINCOLN","","LN2 4US","20180401","","","","503","","","","","","","1","","","","",""
"503DE","THE NEW CONINGSBY SURGERY","Y60","QJM","20 SILVER STREET","CONINGSBY","","LINCOLN","","LN4 4SG","20180401","","","","503","","","","","","","1","","","","",""
"503DF","WASHINGBOROUGH COMMUNITY CENTRE","Y60","QJM","FEN ROAD","WASHINGBOROUGH","","LINCOLN","","LN4 1AB","20180401","","","","503","","","","","","","1","","","","",""
"503DG","WRAGBY SURGERY","Y60","QJM","OLD GRAMMAR SCHOOL WAY","WRAGBY","","MARKET RASEN","","LN8 5DA","20180401","","","","503","","","","","","","1","","","","",""
"503DH","BRANT ROAD SURGERY","Y60","QJM","291 BRANT ROAD","","","LINCOLN","","LN5 9AB","20180401","","","","503","","","","","","","1","","","","",""
"503DJ","THE HEATH SURGERY","Y60","QJM","LONDON ROAD","BRACEBRIDGE HEATH","","LINCOLN","","LN4 2LA","20180401","","","","503","","","","","","","1","","","","",""
"503DK","HAWTHORN MEDICAL PRACTICE","Y60","QJM","HAWTHORN ROAD","","","SKEGNESS","","PE25 3TD","20180401","","","","503","","","","","","","1","","","","",""
"503DL","LONG SUTTON MEDICAL CENTRE","Y60","QJM","TRAFALGAR SQUARE","LONG SUTTON","","SPALDING","","PE12 9HB","20180401","","","","503","","","","","","","1","","","","",""
"503DM","HIBALDSTOW SURGERY","Y63","QOQ","11 CHURCH STREET","HIBALDSTOW","","BRIGG","","DN20 9ED","20180401","","","","503","","","","","","","1","","","","",""
"503DN","BURGH LE MARSH VILLAGE HALL","Y60","QJM","JACKSONS LANE","BURGH LE MARSH","","SKEGNESS","","PE24 5LA","20180401","","","","503","","","","","","","1","","","","",""
"503DP","BRACEBRIDGE COMMUNITY CENTRE","Y60","QJM","MAPLE STREET","","","LINCOLN","","LN5 8QS","20180401","","","","503","","","","","","","1","","","","",""
"503DQ","SURFLEET VILLAGE HALL","Y60","QJM","STATION ROAD","SURFLEET","","SPALDING","","PE11 4DB","20180401","","","","503","","","","","","","1","","","","",""
"503DR","ST GEORGES COMMUNITY CENTRE","Y60","QJM","HEAPHAM ROAD","","","GAINSBOROUGH","","DN21 1SH","20180401","","","","503","","","","","","","1","","","","",""
"503DT","SUDBROOKE COMMUNITY CENTRE","Y60","QJM","SUDBROOKE DRIVE","","","LINCOLN","","LN2 2EF","20180401","","","","503","","","","","","","1","","","","",""
"503DV","WINGS MEADOW ACTIVITY CENTRE","Y60","QJM","FREISTON ROAD","","","BOSTON","","PE21 0JR","20180401","","","","503","","","","","","","1","","","","",""
"503DW","CROWLAND CHILDREN CENTRE","Y60","QJM","POSTLAND ROAD","CROWLAND","","PETERBOROUGH","","PE6 0JA","20180401","","","","503","","","","","","","1","","","","",""
"503DX","NORTH HYKEHAM CHILDREN CENTRE LING MOOR","Y60","QJM","RICHMOND DRIVE","NORTH HYKEHAM","","LINCOLN","","LN6 8QY","20180401","","","","503","","","","","","","1","","","","",""
"503DY","CURLEW CENTRE","Y60","QJM","51 BRIDGE ROAD","SUTTON BRIDGE","","SPALDING","","PE12 9SA","20180401","","","","503","","","","","","","1","","","","",""
"503EA","SCOTTER/HAWTHORN SURGERY","Y60","QJM","SCOTTON ROAD","SCOTTER","","GAINSBOROUGH","","DN21 3SB","20180401","","","","503","","","","","","","1","","","","",""
"503EC","HOLTON LE CLAY CHILDRENS CENTRE","Y60","QJM","PICKSLEY CRESCENT","HOLTON-LE-CLAY","","GRIMSBY","","DN36 5DR","20180401","","","","503","","","","","","","1","","","","",""
"503ED","NEWMARKET SURGERY","Y60","QJM","153 NEWMARKET","","","LOUTH","","LN11 9EH","20180401","","","","503","","","","","","","1","","","","",""
"503EE","JAMES STREET SURGERY","Y60","QJM","49 JAMES STREET","","","LOUTH","","LN11 0JN","20180401","","","","503","","","","","","","1","","","","",""
"503EF","NORTH HYKEHAM COUNCIL OFFICES","Y60","QJM","FEN LANE","NORTH HYKEHAM","","LINCOLN","","LN6 8EY","20180401","","","","503","","","","","","","1","","","","",""
"503EG","GREYFRIARS SURGERY","Y60","QJM","SOUTH SQUARE","","","BOSTON","","PE21 6JU","20180401","","","","503","","","","","","","1","","","","",""
"503EH","HORNCASTLE BANOVALLUM SCHOOL","Y60","QJM","MAREHAM ROAD","","","HORNCASTLE","","LN9 6DA","20180401","","","","503","","","","","","","1","","","","",""
"503EJ","LOUTH CHILDRENS CENTRE","Y60","QJM","EASTFIELD INFANTS & NURSERY SCHOOL","LACEY GARDENS","","LOUTH","","LN11 8DQ","20180401","","","","503","","","","","","","1","","","","",""
"503EK","BARDENEY HEALTH CLINIC","Y60","QJM","HORNCASTLE ROAD","BARDNEY","","LINCOLN","","LN3 5SU","20180401","","","","503","","","","","","","1","","","","",""
"503EL","UNITED REFORM CHURCH","Y60","QJM","SOUTHGATE","","","SLEAFORD","","NG34 7RY","20180401","","","","503","","","","","","","1","","","","",""
"503EM","RIVERSIDE SURGERY","Y60","QJM","BOSTON ROAD","","","SLEAFORD","","NG34 7HD","20180401","","","","503","","","","","","","1","","","","",""
"503EN","THE DEEPINGS COMMUNITY CENTRE","Y60","QJM","2 DOUGLAS ROAD","MARKET DEEPING","","PETERBOROUGH","","PE6 8PA","20180401","","","","503","","","","","","","1","","","","",""
"503EP","ELSEA PARK COMMUNITY TRUST","Y60","QJM","1 SANDOWN DRIVE","","","BOURNE","","PE10 0US","20180401","","","","503","","","","","","","1","","","","",""
"503EQ","SCREDINGTON COMMUNITY CENTRE","Y60","QJM","CHURCH LANE","SCREDINGTON","","SLEAFORD","","NG34 0AG","20180401","","","","503","","","","","","","1","","","","",""
"503ER","GONERBY SOCIAL CLUB","Y60","QJM","8 HIGH STREET","GREAT GONERBY","","GRANTHAM","","NG31 8JP","20180401","","","","503","","","","","","","1","","","","",""
"503ET","TATTERSHALL CHILDRENS CENTRE","Y60","QJM","CLINTON PARK","TATTERSHALL","","LINCOLN","","LN4 4QZ","20180401","","","","503","","","","","","","1","","","","",""
"503EV","ST JOHNS CHURCH HALL","Y60","QJM","CLINTON PARK","TATTERSHALL","","LINCOLN","","LN4 4QZ","20180401","","","","503","","","","","","","1","","","","",""
"503EW","OLD LEAKE CHILDREN CENTRE","Y60","QJM","OLD MAIN ROAD","OLD LEAKE","","BOSTON","","PE22 9HR","20180401","","","","503","","","","","","","1","","","","",""
"503EX","STURTON BY STOW CHILDREN CENTRE","Y60","QJM","SCHOOL LANE","STURTON BY STOW","","LINCOLN","","LN1 2BY","20180401","","","","503","","","","","","","1","","","","",""
"503EY","LUDFORD VILLAGE HALL","Y60","QJM","PLAYING FIELD LANE","MAGNA MILE","LUDFORD","MARKET RASEN","","LN8 6AJ","20180401","","","","503","","","","","","","1","","","","",""
