"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
MP,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,21,0,32
MS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,5,29,15,39
MS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,10,32,27,22
MS,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,45,0,8,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,14,0,29,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,15,0,29,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,33,0,13,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,22,0,30,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_CABG,Rate of readmission for CABG,0,14,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,50,0,32,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,51,0,29,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,16,0,13,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,67,0,18,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,9,0,20
MT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,6,13,1,39
MT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,12,11,4,33
MT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,14,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,18,0,18,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,17,0,18,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,0,13,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,13,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_CABG,Rate of readmission for CABG,0,5,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,15,0,41,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,20,0,37,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,15,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,25,0,35,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,36,0,54
NC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,14,67,11,12
NC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,14,67,19,5
NC,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,90,0,2,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,45,2,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,47,0,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,77,3,12,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,51,0,39,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_CABG,Rate of readmission for CABG,0,21,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,94,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,95,0,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,51,0,35,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,100,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,6,0,22
ND,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,6,7,3,28
ND,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,6,14,6,18
ND,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,14,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,23,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,23,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,6,1,11,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,12,0,29,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,13,0,31,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,7,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
